Mã sản phẩm,Tên sản phẩm,Danh mục,Mô tả,Đơn vị tính,Giá nhập,Giá bán,Số lượng tồn kho,Tồn kho tối thiểu,Vị trí lưu kho,Nhà cung cấp,Ngày nhập gần nhất,Trạng thái
THỰ-2510-0186,Orion Bánh ChocoPie 12 cái SE,Thực phẩm,"Orion Bánh ChocoPie 12 cái SE – lựa chọn đáng giá trong phân khúc. Nổi bật: Bao bì nguyên vẹn, tem nhãn đầy đủ, Nguồn gốc rõ ràng, an toàn vệ sinh, HSD 11 tháng. Bảo hành 12 tháng, Nhận hàng tại cửa hàng. Hỗ trợ đổi size (thời trang).",Gói,244762,358000,155,24,K09-H07-B15,Vũ Lê Tập Đoàn,2025-11-04,Còn hàng
THỜ-2511-0187,Coolmate Áo thun cotton Pro,Thời trang nam,"Coolmate Áo thun cotton Pro chính hãng từ Coolmate. Giá tốt chỉ 172,000đ. Form regular, Màu sắc: xám, Chất liệu cotton 100%. Bảo hành 6 tháng. Nhận hàng tại cửa hàng. Đổi trả trong 7 ngày. #coolmate #chinhhang",Cái,103179,172000,72,15,K06-H27-B10,CTCP Thiết bị Gia dụng H.T,2025-11-04,Còn hàng
MỸP-2507-0188,Maybelline Serum Vitamin C Pro,Mỹ phẩm,"Maybelline Serum Vitamin C Pro – lựa chọn đáng giá trong phân khúc. Nổi bật: Thành phần nổi bật: Niacinamide, Phù hợp loại da thường, Không paraben, không cồn khô. Bảo hành 12 tháng, Giao 24-48H toàn quốc. Hỗ trợ đổi size (thời trang).",Tuýp,834988,1368000,61,8,K11-H19-B04,Dương Công ty Cổ phần,2025-11-01,Còn hàng
PHỤ-2503-0189,Logitech Cáp USB-C 1m,Phụ kiện,"Logitech Cáp USB-C 1m – lựa chọn đáng giá trong phân khúc. Nổi bật: Cáp USB-A to Lightning dài 2m, Công suất 45W, hỗ trợ PD/QC, Chứng nhận an toàn CE/FCC. Bảo hành 6 tháng, Giao nhanh 2H nội thành. Đổi trả trong 7 ngày. #giao_nhanh #logitech",Cái,573322,675000,131,15,K10-H20-B11,CT TNHH Xuất nhập khẩu Đại Phát,2025-11-03,Còn hàng
THỰ-2504-0190,Acecook Mì Hảo Hảo thùng Max,Thực phẩm,"Sản phẩm Acecook Mì Hảo Hảo thùng Max của Acecook: HSD 15 tháng, Nguồn gốc rõ ràng, an toàn vệ sinh, Bao bì nguyên vẹn, tem nhãn đầy đủ. Giá tham khảo 365,000đ. Nhận hàng tại cửa hàng. Đổi trả trong 15 ngày.",Gói,234494,365000,153,24,K11-H05-B06,CTCP Thiết bị Gia dụng H.T,2025-11-03,Còn hàng
THỰ-2509-0191,Acecook Gạo ST25 5kg Pro,Thực phẩm,"Sản phẩm Acecook Gạo ST25 5kg Pro của Acecook: HSD 6 tháng, Bao bì nguyên vẹn, tem nhãn đầy đủ. Giá tham khảo 117,000đ. Giao 24-48H toàn quốc. Đổi trả trong 7 ngày. #acecook #chinhhang",Gói,64327,117000,165,18,K03-H02-B02,Công ty Cổ phần Phân phối Sao Việt,2025-11-05,Còn hàng
ĐỒU-2509-0192,Pepsi Cà phê hòa tan 20 gói,Đồ uống,"Pepsi Cà phê hòa tan 20 gói chính hãng từ Pepsi. Giá tốt chỉ 309,000đ. Thùng 12 lon/chai, NSX gần, HSD còn dài, Bảo quản nơi khô ráo, thoáng mát. Bảo hành 3 tháng. Nhận hàng tại cửa hàng. Đổi trả trong 15 ngày. #pepsi #chinhhang",Thùng,241669,309000,127,25,K12-H10-B02,Phạm Nguyễn Công ty Trách nhiệm hữu hạn,2025-10-18,Còn hàng
THỜ-2508-0193,Canifa Áo sơ mi oxford Plus,Thời trang nam,"Canifa Áo sơ mi oxford Plus – lựa chọn đáng giá trong phân khúc. Nổi bật: Màu sắc: xanh navy, Form regular, Chất liệu cotton 100%. Bảo hành 12 tháng, Giao 24-48H toàn quốc. Đổi trả trong 7 ngày. #gia_tot #chinhhang",Cái,680480,1014000,65,13,K02-H06-B06,Vũ và Trần Tập Đoàn,2025-09-19,Còn hàng
PHỤ-2511-0194,Baseus Bàn phím bluetooth Pro,Phụ kiện,"Baseus Bàn phím bluetooth Pro chính hãng từ Baseus. Giá tốt chỉ 1,122,000đ. Cáp USB-C to USB-C dài 2m, Chứng nhận an toàn CE/FCC, Công suất 65W, hỗ trợ PD/QC. Bảo hành 3 tháng. Giao 24-48H toàn quốc. Đổi trả trong 7 ngày. #giao_nhanh #gia_tot",Cái,742350,1122000,120,21,K10-H18-B12,CTCP Thiết bị Gia dụng H.T,2025-10-31,Còn hàng
ĐỒC-2511-0195,Hasbro Xếp hình 500 mảnh SE,Đồ chơi,"Hasbro Xếp hình 500 mảnh SE – lựa chọn đáng giá trong phân khúc. Nổi bật: Độ tuổi khuyến nghị 8+, Chất liệu an toàn, đạt chuẩn ASTM. Bảo hành 6 tháng, Giao nhanh 2H nội thành. Đổi trả trong 15 ngày. #giao_nhanh #chinhhang",Hộp,589258,816000,33,5,K06-H15-B08,Mai và đối tác Doanh nghiệp tư nhân,2025-11-02,Còn hàng
THỰ-2501-0196,Acecook Gạo ST25 5kg Mini,Thực phẩm,"Acecook Gạo ST25 5kg Mini chính hãng từ Acecook. Giá tốt chỉ 525,000đ. Bao bì nguyên vẹn, tem nhãn đầy đủ, HSD 7 tháng, Nguồn gốc rõ ràng, an toàn vệ sinh. Bảo hành 3 tháng. Nhận hàng tại cửa hàng. Hỗ trợ đổi size (thời trang).",Gói,332819,525000,156,24,K04-H11-B17,Công ty TNHH Thương mại Minh Anh,2025-09-11,Còn hàng
THỜ-2512-0197,IVY Moda Áo kiểu lụa SE,Thời trang nữ,,Cái,917850,1438000,96,22,K02-H24-B05,CTCP Thiết bị Gia dụng H.T,2025-11-05,Còn hàng
LAP-2509-0198,Dell Pavilion 14 Plus,Laptop,"Dell Pavilion 14 Plus – lựa chọn đáng giá trong phân khúc. Nổi bật: Pin dùng 8 giờ, RAM 32GB, SSD 256GB, CPU Ryzen 7, Màn hình 13.3"" FHD. Bảo hành 6 tháng, Nhận hàng tại cửa hàng. Đổi trả trong 7 ngày.",Chiếc,25197347,38781000,6,5,K04-H30-B09,CT TNHH Xuất nhập khẩu Đại Phát,2025-09-18,Còn hàng
LAP-2502-0199,Lenovo MacBook Air M2 SE,Laptop,,Chiếc,33264424,48511000,14,10,K08-H13-B13,Nguyễn và Trần Công ty Hợp danh,2025-10-17,Còn hàng
PHỤ-2512-0200,Logitech Cáp USB-C 1m Max,Phụ kiện,"Sản phẩm Logitech Cáp USB-C 1m Max của Logitech: Cáp USB-C to USB-C dài 1m, Chứng nhận an toàn CE/FCC. Giá tham khảo 1,552,000đ. Nhận hàng tại cửa hàng. Đổi trả trong 15 ngày. #chinhhang #gia_tot",Cái,1042940,1552000,112,24,K09-H10-B05,CTCP Thiết bị Gia dụng H.T,2025-11-05,Còn hàng
GIA-2511-0201,Sharp Máy xay sinh tố Mini,Gia dụng,"Sharp Máy xay sinh tố Mini – lựa chọn đáng giá trong phân khúc. Nổi bật: Công suất 900W, Dung tích 1.7L, Bảo hành chính hãng 12 tháng. Bảo hành 18 tháng, Nhận hàng tại cửa hàng. Đổi trả trong 7 ngày. #sharp #gia_tot",Cái,1960410,2941000,45,8,K04-H20-B09,Công ty Cổ phần Phân phối Sao Việt,2025-10-12,Còn hàng
THỜ-2505-0202,Canifa Áo sơ mi oxford Pro,Thời trang nam,"Sản phẩm Canifa Áo sơ mi oxford Pro của Canifa: Màu sắc: xám, Form regular, Chất liệu cotton 100%. Giá tham khảo 1,003,000đ. Giao nhanh 2H nội thành. Đổi trả trong 7 ngày.",Cái,658444,1003000,97,10,K06-H16-B15,CTCP Thiết bị Gia dụng H.T,2025-11-05,Còn hàng
THỜ-2511-0203,H&M Chân váy chữ A Max,Thời trang nữ,"H&M Chân váy chữ A Max chính hãng từ H&M. Giá tốt chỉ 1,260,000đ. Phom oversize, Dễ phối đồ, phù hợp đi làm/đi chơi, Chất liệu lụa. Bảo hành 6 tháng. Giao nhanh 2H nội thành. Hỗ trợ đổi size (thời trang). #chinhhang #giao_nhanh",Cái,951932,1260000,84,19,K08-H15-B12,Bùi Công ty Hợp danh,2025-10-25,Còn hàng
LAP-2501-0204,Dell Modern 14,Laptop,"Sản phẩm Dell Modern 14 của Dell: RAM 16GB, SSD 256GB, CPU Ryzen 7, Màn hình 15.6"" FHD. Giá tham khảo 46,444,000đ. Giao nhanh 2H nội thành. Đổi trả trong 15 ngày. #dell #gia_tot",Chiếc,34266795,46444000,11,13,K04-H30-B02,CTCP Bán lẻ Công nghệ A-Z,2025-11-06,Còn hàng
THỰ-2511-0205,Orion Mì Hảo Hảo thùng SE,Thực phẩm,"Orion Mì Hảo Hảo thùng SE chính hãng từ Orion. Giá tốt chỉ 438,000đ. Nguồn gốc rõ ràng, an toàn vệ sinh, Bao bì nguyên vẹn, tem nhãn đầy đủ, HSD 6 tháng. Bảo hành 3 tháng. Giao 24-48H toàn quốc. Đổi trả trong 7 ngày. #gia_tot #chinhhang",Gói,244614,438000,150,20,K03-H15-B06,CTCP Bán lẻ Công nghệ A-Z,2025-10-30,Còn hàng
GIA-2508-0206,Electrolux Lò vi sóng 23L Mini,Gia dụng,"Sản phẩm Electrolux Lò vi sóng 23L Mini của Electrolux: Dung tích 1.7L, Bảo hành chính hãng 12 tháng, Công suất 900W. Giá tham khảo 8,319,000đ. Giao 24-48H toàn quốc. Hỗ trợ đổi size (thời trang).",Cái,5111039,8319000,39,18,K01-H21-B11,CTCP Bán lẻ Công nghệ A-Z,2025-11-02,Còn hàng
LAP-2504-0207,Asus MacBook Air M2 Mini,Laptop,,Chiếc,19428617,31223000,5,13,K06-H16-B16,Đặng Bùi Công ty TNHH,2025-10-31,Còn hàng
PHỤ-2502-0208,Hyper Cáp USB-C 1m Max,Phụ kiện,"Hyper Cáp USB-C 1m Max chính hãng từ Hyper. Giá tốt chỉ 652,000đ. Công suất 20W, hỗ trợ PD/QC, Chứng nhận an toàn CE/FCC, Cáp USB-A to Lightning dài 2m. Bảo hành 6 tháng. Giao nhanh 2H nội thành. Hỗ trợ đổi size (thời trang). #hyper #chinhhang",Cái,416760,652000,107,20,K03-H06-B12,Công ty TNHH Thương mại Minh Anh,2025-11-03,Còn hàng
GIA-2510-0209,Panasonic Máy xay sinh tố SE,Gia dụng,"Panasonic Máy xay sinh tố SE – lựa chọn đáng giá trong phân khúc. Nổi bật: Bảo hành chính hãng 12 tháng, Công suất 1800W, Dung tích 1.7L. Bảo hành 18 tháng, Giao nhanh 2H nội thành. Đổi trả trong 7 ngày. #panasonic #gia_tot",Cái,1840803,2750000,38,9,K09-H02-B19,Công ty Cổ phần Phân phối Sao Việt,2025-10-07,Còn hàng
PHỤ-2503-0210,Ugreen Chuột không dây SE,Phụ kiện,"Ugreen Chuột không dây SE chính hãng từ Ugreen. Giá tốt chỉ 998,000đ. Chứng nhận an toàn CE/FCC, Công suất 65W, hỗ trợ PD/QC. Bảo hành 6 tháng. Giao nhanh 2H nội thành. Đổi trả trong 7 ngày. #ugreen #chinhhang",Cái,708693,998000,111,17,K09-H09-B06,Vũ Công ty Hợp danh,2025-10-25,Còn hàng
ĐỒU-2510-0211,Coca-Cola Lon 330ml thùng 24 Mini,Đồ uống,"Coca-Cola Lon 330ml thùng 24 Mini chính hãng từ Coca-Cola. Giá tốt chỉ 631,000đ. NSX gần, HSD còn dài, Thùng 24 lon/chai, Bảo quản nơi khô ráo, thoáng mát. Bảo hành 12 tháng. Giao 24-48H toàn quốc. Đổi trả trong 15 ngày. #coca-cola #chinhhang",Thùng,411854,631000,144,14,K09-H17-B04,Công ty Cổ phần Phân phối Sao Việt,2025-10-06,Còn hàng
MỸP-2512-0212,The Ordinary Serum Vitamin C SE,Mỹ phẩm,"Sản phẩm The Ordinary Serum Vitamin C SE của The Ordinary: Phù hợp loại da dầu, Thành phần nổi bật: Niacinamide, Không paraben, không cồn khô. Giá tham khảo 593,000đ. Nhận hàng tại cửa hàng. Đổi trả trong 7 ngày. #chinhhang #gia_tot",Tuýp,393021,593000,80,10,K05-H16-B08,Vũ và đối tác Công ty Hợp danh,2025-11-05,Còn hàng
GIA-2502-0213,Sharp Ấm siêu tốc 1.7L Plus,Gia dụng,"Sản phẩm Sharp Ấm siêu tốc 1.7L Plus của Sharp: Dung tích 23L, Bảo hành chính hãng 12 tháng, Công suất 900W. Giá tham khảo 5,033,000đ. Giao nhanh 2H nội thành. Đổi trả trong 15 ngày. #giao_nhanh #gia_tot",Cái,2944817,5033000,51,8,K10-H09-B09,Bùi và đối tác Công ty Trách nhiệm hữu hạn,2025-11-04,Còn hàng
ĐỒU-2512-0214,Lavie Cà phê hòa tan 20 gói Mini,Đồ uống,"Lavie Cà phê hòa tan 20 gói Mini chính hãng từ Lavie. Giá tốt chỉ 434,000đ. Thùng 12 lon/chai, NSX gần, HSD còn dài, Bảo quản nơi khô ráo, thoáng mát. Bảo hành 3 tháng. Giao 24-48H toàn quốc. Hỗ trợ đổi size (thời trang).",Thùng,311199,434000,115,17,K11-H04-B08,Công ty Cổ phần Phân phối Sao Việt,2025-10-18,Còn hàng
PHỤ-2502-0215,Hyper Bàn phím bluetooth Mini,Phụ kiện,"Sản phẩm Hyper Bàn phím bluetooth Mini của Hyper: Công suất 20W, hỗ trợ PD/QC, Chứng nhận an toàn CE/FCC, Cáp USB-C to USB-C dài 2m. Giá tham khảo 706,000đ. Giao nhanh 2H nội thành. Đổi trả trong 7 ngày.",Cái,529869,706000,99,14,K06-H03-B20,CT TNHH Xuất nhập khẩu Đại Phát,2025-10-31,Còn hàng
THỰ-2510-0216,Acecook Mì Hảo Hảo thùng Pro,Thực phẩm,"Sản phẩm Acecook Mì Hảo Hảo thùng Pro của Acecook: Nguồn gốc rõ ràng, an toàn vệ sinh, Bao bì nguyên vẹn, tem nhãn đầy đủ, HSD 11 tháng. Giá tham khảo 299,000đ. Giao 24-48H toàn quốc. Đổi trả trong 15 ngày. #chinhhang #giao_nhanh",Gói,225201,299000,148,22,K11-H02-B12,Công ty TNHH Thương mại Minh Anh,2025-10-23,Còn hàng
LAP-2512-0217,Dell Modern 14 Plus,Laptop,"Sản phẩm Dell Modern 14 Plus của Dell: Màn hình 15.6"" FHD, Pin dùng 8 giờ, RAM 32GB, SSD 256GB. Giá tham khảo 40,229,000đ. Giao 24-48H toàn quốc. Đổi trả trong 7 ngày.",Chiếc,26352356,40229000,11,12,K05-H08-B20,Vũ Doanh nghiệp tư nhân,2025-09-25,Còn hàng
THỰ-2510-0218,Acecook Gạo ST25 5kg Mini,Thực phẩm,"Sản phẩm Acecook Gạo ST25 5kg Mini của Acecook: Nguồn gốc rõ ràng, an toàn vệ sinh, HSD 7 tháng, Bao bì nguyên vẹn, tem nhãn đầy đủ. Giá tham khảo 559,000đ. Nhận hàng tại cửa hàng. Đổi trả trong 7 ngày.",Gói,386299,559000,132,30,K06-H25-B15,CTCP Bán lẻ Công nghệ A-Z,2025-10-28,Còn hàng
THỜ-2509-0219,Coolmate Quần jeans slim SE,Thời trang nam,,Cái,542074,623000,81,8,K05-H08-B10,CTCP Thiết bị Gia dụng H.T,2025-11-04,Còn hàng
PHỤ-2504-0220,Hyper Hub 6-in-1 Plus,Phụ kiện,"Hyper Hub 6-in-1 Plus chính hãng từ Hyper. Giá tốt chỉ 510,000đ. Chứng nhận an toàn CE/FCC, Cáp USB-C to USB-C dài 1m. Bảo hành 3 tháng. Nhận hàng tại cửa hàng. Đổi trả trong 15 ngày.",Cái,387122,510000,115,20,K12-H22-B07,Công ty Cổ phần Phân phối Sao Việt,2025-11-03,Còn hàng
LAP-2501-0221,Dell Swift 3 SE,Laptop,"Dell Swift 3 SE – lựa chọn đáng giá trong phân khúc. Nổi bật: CPU Intel Core i7, Pin dùng 12 giờ, Màn hình 13.3"" FHD. Bảo hành 6 tháng, Nhận hàng tại cửa hàng. Đổi trả trong 15 ngày.",Chiếc,31942745,49609000,11,5,K06-H20-B11,CTCP Bán lẻ Công nghệ A-Z,2025-11-02,Còn hàng
ĐIỆ-2511-0222,Vivo iPhone 15 Mini,Điện thoại,,Chiếc,15858429,24016000,13,7,K02-H23-B17,Công ty TNHH Thương mại Minh Anh,2025-10-13,Còn hàng
GIA-2506-0223,Sunhouse Bếp hồng ngoại Pro,Gia dụng,"Sunhouse Bếp hồng ngoại Pro – lựa chọn đáng giá trong phân khúc. Nổi bật: Dung tích 1.8L, Công suất 900W, Bảo hành chính hãng 24 tháng. Bảo hành 12 tháng, Giao 24-48H toàn quốc. Hỗ trợ đổi size (thời trang). #sunhouse #gia_tot",Cái,4138813,5603000,44,15,K05-H06-B18,CTCP Thiết bị Gia dụng H.T,2025-11-05,Còn hàng
MỸP-2511-0224,Maybelline Kem dưỡng ẩm SE,Mỹ phẩm,"Sản phẩm Maybelline Kem dưỡng ẩm SE của Maybelline: Thành phần nổi bật: Niacinamide, Phù hợp loại da dầu, Không paraben, không cồn khô. Giá tham khảo 1,060,000đ. Giao 24-48H toàn quốc. Đổi trả trong 7 ngày. #giao_nhanh #gia_tot",Tuýp,628083,1060000,82,14,K12-H09-B08,CT TNHH Xuất nhập khẩu Đại Phát,2025-10-29,Còn hàng
ĐỒC-2502-0225,Mattel Bộ lắp ghép Mini,Đồ chơi,"Sản phẩm Mattel Bộ lắp ghép Mini của Mattel: Chất liệu an toàn, đạt chuẩn EN-71, Phát triển tư duy & sáng tạo, Độ tuổi khuyến nghị 6+. Giá tham khảo 510,000đ. Giao 24-48H toàn quốc. Hỗ trợ đổi size (thời trang). #gia_tot #mattel",Hộp,374239,510000,30,8,K05-H16-B04,CTCP Thiết bị Gia dụng H.T,2025-11-03,Còn hàng
THỜ-2508-0226,Yody Áo khoác gió,Thời trang nam,"Yody Áo khoác gió chính hãng từ Yody. Giá tốt chỉ 725,000đ. Chất liệu kaki co giãn, Màu sắc: xám, Form regular. Bảo hành 3 tháng. Giao nhanh 2H nội thành. Đổi trả trong 15 ngày. #giao_nhanh #yody",Cái,438807,725000,76,10,K05-H15-B05,Trần Vũ Công ty Hợp danh,2025-10-28,Còn hàng
ĐỒC-2506-0227,Takara Tomy Ô tô điều khiển Mini,Đồ chơi,"Takara Tomy Ô tô điều khiển Mini – lựa chọn đáng giá trong phân khúc. Nổi bật: Độ tuổi khuyến nghị 3+, Chất liệu an toàn, đạt chuẩn ASTM. Bảo hành 3 tháng, Giao nhanh 2H nội thành. Đổi trả trong 7 ngày. #chinhhang #gia_tot",Hộp,958986,1411000,31,17,K03-H28-B01,Công ty Cổ phần Phân phối Sao Việt,2025-11-03,Còn hàng
THỰ-2510-0228,Orion Bánh ChocoPie 12 cái Plus,Thực phẩm,"Orion Bánh ChocoPie 12 cái Plus – lựa chọn đáng giá trong phân khúc. Nổi bật: Bao bì nguyên vẹn, tem nhãn đầy đủ, Nguồn gốc rõ ràng, an toàn vệ sinh, HSD 8 tháng. Bảo hành 3 tháng, Giao nhanh 2H nội thành. Hỗ trợ đổi size (thời trang).",Gói,110769,158000,157,19,K07-H10-B08,CTCP Thiết bị Gia dụng H.T,2025-09-26,Còn hàng
THỜ-2505-0229,Coolmate Áo khoác gió SE,Thời trang nam,"Coolmate Áo khoác gió SE chính hãng từ Coolmate. Giá tốt chỉ 271,000đ. Chất liệu kaki co giãn, Form oversize, Màu sắc: xanh navy. Bảo hành 6 tháng. Giao 24-48H toàn quốc. Hỗ trợ đổi size (thời trang).",Cái,228431,271000,87,22,K12-H18-B06,CT TNHH Xuất nhập khẩu Đại Phát,2025-10-29,Còn hàng
MỸP-2505-0230,Innisfree Serum Vitamin C Mini,Mỹ phẩm,"Innisfree Serum Vitamin C Mini chính hãng từ Innisfree. Giá tốt chỉ 686,000đ. Phù hợp loại da khô, Thành phần nổi bật: Niacinamide, Không paraben, không cồn khô. Bảo hành 6 tháng. Giao 24-48H toàn quốc. Hỗ trợ đổi size (thời trang).",Tuýp,387196,686000,72,11,K01-H17-B05,CT TNHH Xuất nhập khẩu Đại Phát,2025-09-11,Còn hàng
THỰ-2509-0231,Acecook Mì Hảo Hảo thùng Mini,Thực phẩm,"Sản phẩm Acecook Mì Hảo Hảo thùng Mini của Acecook: Nguồn gốc rõ ràng, an toàn vệ sinh, Bao bì nguyên vẹn, tem nhãn đầy đủ, HSD 9 tháng. Giá tham khảo 239,000đ. Nhận hàng tại cửa hàng. Hỗ trợ đổi size (thời trang). #giao_nhanh #gia_tot",Gói,205168,239000,169,28,K03-H23-B13,Phạm và Phạm Công ty Cổ phần,2025-08-15,Còn hàng
GIA-2505-0232,Panasonic Máy xay sinh tố Max,Gia dụng,"Panasonic Máy xay sinh tố Max – lựa chọn đáng giá trong phân khúc. Nổi bật: Bảo hành chính hãng 12 tháng, Dung tích 1.7L. Bảo hành 6 tháng, Giao nhanh 2H nội thành. Đổi trả trong 7 ngày. #panasonic #giao_nhanh",Cái,4442889,7064000,34,7,K10-H15-B09,Dương Hoàng Tập Đoàn,2025-11-05,Còn hàng
ĐIỆ-2501-0233,Apple S23 Max,Điện thoại,"Apple S23 Max – lựa chọn đáng giá trong phân khúc. Nổi bật: Chip Snapdragon 7 Gen 1, Pin 5000mAh, sạc nhanh 25W. Bảo hành 24 tháng, Giao nhanh 2H nội thành. Đổi trả trong 7 ngày.",Chiếc,9225753,15325000,15,17,K07-H10-B16,Bùi và đối tác Công ty Trách nhiệm hữu hạn,2025-11-02,Còn hàng
ĐIỆ-2507-0234,Samsung G22 Max,Điện thoại,"Sản phẩm Samsung G22 Max của Samsung: Màn hình 6.3"" AMOLED 120Hz, RAM 12GB, ROM 512GB, Camera 50MP, quay 4K. Giá tham khảo 10,331,000đ. Giao 24-48H toàn quốc. Đổi trả trong 15 ngày. #giao_nhanh #chinhhang",Chiếc,6922821,10331000,26,16,K01-H07-B15,Dương và đối tác Công ty TNHH MTV,2025-10-13,Còn hàng
GIA-2507-0235,Panasonic Máy xay sinh tố,Gia dụng,,Cái,729668,1210000,33,14,K05-H19-B04,Công ty Cổ phần Phân phối Sao Việt,2025-10-19,Còn hàng
ĐIỆ-2512-0236,Vivo G22 Mini,Điện thoại,"Vivo G22 Mini chính hãng từ Vivo. Giá tốt chỉ 12,221,000đ. RAM 12GB, ROM 128GB, Pin 4500mAh, sạc nhanh 67W, Chip A17 Pro, Camera 64MP, quay 4K. Bảo hành 18 tháng. Giao 24-48H toàn quốc. Hỗ trợ đổi size (thời trang). #vivo #gia_tot",Chiếc,8170547,12221000,19,6,K02-H08-B06,CTCP Bán lẻ Công nghệ A-Z,2025-09-06,Còn hàng
PHỤ-2512-0237,Baseus Sạc 20W Mini,Phụ kiện,"Sản phẩm Baseus Sạc 20W Mini của Baseus: Công suất 30W, hỗ trợ PD/QC, Chứng nhận an toàn CE/FCC, Cáp USB-C to USB-C dài 1m. Giá tham khảo 1,325,000đ. Giao 24-48H toàn quốc. Đổi trả trong 15 ngày. #chinhhang #giao_nhanh",Cái,826632,1325000,118,26,K09-H23-B16,Công ty Cổ phần Phân phối Sao Việt,2025-11-04,Còn hàng
THỰ-2510-0238,Vissan Mì Hảo Hảo thùng Pro,Thực phẩm,"Vissan Mì Hảo Hảo thùng Pro – lựa chọn đáng giá trong phân khúc. Nổi bật: Nguồn gốc rõ ràng, an toàn vệ sinh, Bao bì nguyên vẹn, tem nhãn đầy đủ, HSD 8 tháng. Bảo hành 12 tháng, Giao 24-48H toàn quốc. Đổi trả trong 15 ngày. #chinhhang #vissan",Gói,307897,514000,136,26,K04-H11-B03,CTCP Bán lẻ Công nghệ A-Z,2025-10-31,Còn hàng
THỰ-2503-0239,Orion Bánh ChocoPie 12 cái Max,Thực phẩm,"Orion Bánh ChocoPie 12 cái Max chính hãng từ Orion. Giá tốt chỉ 239,000đ. HSD 11 tháng, Bao bì nguyên vẹn, tem nhãn đầy đủ. Bảo hành 3 tháng. Nhận hàng tại cửa hàng. Hỗ trợ đổi size (thời trang). #gia_tot #giao_nhanh",Gói,160337,239000,164,16,K08-H07-B04,CT TNHH Xuất nhập khẩu Đại Phát,2025-10-29,Còn hàng
MỸP-2501-0240,L'Oreal Kem chống nắng SPF50,Mỹ phẩm,,Tuýp,513533,681000,58,18,K07-H27-B12,Phạm và đối tác Công ty Cổ phần,2025-10-18,Còn hàng
ĐỒU-2512-0241,Lavie Cà phê hòa tan 20 gói Pro,Đồ uống,"Sản phẩm Lavie Cà phê hòa tan 20 gói Pro của Lavie: NSX gần, HSD còn dài, Bảo quản nơi khô ráo, thoáng mát, Thùng 12 lon/chai. Giá tham khảo 598,000đ. Nhận hàng tại cửa hàng. Đổi trả trong 7 ngày.",Thùng,416787,598000,100,15,K02-H07-B17,Công ty Cổ phần Phân phối Sao Việt,2025-11-02,Còn hàng
THỜ-2508-0242,IVY Moda Chân váy chữ A,Thời trang nữ,"IVY Moda Chân váy chữ A – lựa chọn đáng giá trong phân khúc. Nổi bật: Dễ phối đồ, phù hợp đi làm/đi chơi, Phom bodycon, Chất liệu cotton. Bảo hành 6 tháng, Giao 24-48H toàn quốc. Hỗ trợ đổi size (thời trang).",Cái,958410,1468000,90,22,K03-H26-B06,CTCP Bán lẻ Công nghệ A-Z,2025-09-29,Còn hàng
THỜ-2509-0243,Canifa Áo sơ mi oxford Mini,Thời trang nam,"Canifa Áo sơ mi oxford Mini – lựa chọn đáng giá trong phân khúc. Nổi bật: Form regular, Chất liệu thun lạnh, Màu sắc: đen. Bảo hành 6 tháng, Giao nhanh 2H nội thành. Đổi trả trong 7 ngày. #giao_nhanh #canifa",Cái,535153,763000,79,16,K08-H15-B13,Công ty TNHH Thương mại Minh Anh,2025-11-03,Còn hàng
THỰ-2508-0244,Kinh Đô Bánh ChocoPie 12 cái Pro,Thực phẩm,"Kinh Đô Bánh ChocoPie 12 cái Pro – lựa chọn đáng giá trong phân khúc. Nổi bật: Nguồn gốc rõ ràng, an toàn vệ sinh, Bao bì nguyên vẹn, tem nhãn đầy đủ, HSD 9 tháng. Bảo hành 12 tháng, Giao nhanh 2H nội thành. Hỗ trợ đổi size (thời trang).",Gói,127752,170000,157,26,K05-H12-B19,CTCP Thiết bị Gia dụng H.T,2025-11-04,Còn hàng
PHỤ-2510-0245,Hyper Sạc dự phòng 10.000mAh,Phụ kiện,"Hyper Sạc dự phòng 10.000mAh chính hãng từ Hyper. Giá tốt chỉ 1,197,000đ. Công suất 65W, hỗ trợ PD/QC, Chứng nhận an toàn CE/FCC, Cáp USB-C to USB-C dài 1m. Bảo hành 12 tháng. Nhận hàng tại cửa hàng. Hỗ trợ đổi size (thời trang). #hyper #chinhhang",Cái,777814,1197000,134,15,K05-H02-B19,Công ty TNHH Thương mại Minh Anh,2025-08-09,Còn hàng
ĐỒC-2510-0246,Lego Ô tô điều khiển SE,Đồ chơi,"Lego Ô tô điều khiển SE – lựa chọn đáng giá trong phân khúc. Nổi bật: Độ tuổi khuyến nghị 6+, Chất liệu an toàn, đạt chuẩn ASTM. Bảo hành 6 tháng, Giao nhanh 2H nội thành. Đổi trả trong 7 ngày. #chinhhang #giao_nhanh",Hộp,989198,1489000,33,7,K12-H08-B05,CT TNHH Xuất nhập khẩu Đại Phát,2025-10-11,Còn hàng
THỜ-2509-0247,H&M Đầm midi Mini,Thời trang nữ,"H&M Đầm midi Mini – lựa chọn đáng giá trong phân khúc. Nổi bật: Phom oversize, Chất liệu voan, Dễ phối đồ, phù hợp đi làm/đi chơi. Bảo hành 3 tháng, Giao nhanh 2H nội thành. Đổi trả trong 15 ngày. #chinhhang #h&m",Cái,920952,1146000,95,22,K03-H25-B05,Công ty Cổ phần Phân phối Sao Việt,2025-10-27,Còn hàng
